#YYYYmmdd HHMMSS.ss;Duration;Magnitude;Longitude;Latitude;Depth;Type;File;Valid;Projection;Operator
20090212 114030.655;35;;;;;Effondrement;0;0;WGS84;THS
20090212 123935.171;5;;;;;Sommital;0;0;WGS84;THS
20090212 152302.742;25;;;;;Sommital;0;0;WGS84;THS
20090212 152425.223;16;;;;;Effondrement;0;0;WGS84;THS
20090212 153745.371;7;;;;;Sommital;0;0;WGS84;THS
20090212 154531.600;6;;;;;Sommital;0;0;WGS84;THS
20090212 155859.142;4;;;;;Sommital;0;0;WGS84;THS
20090212 162521.457;7;;;;;Sommital;0;0;WGS84;THS
20090212 164658.285;9;;;;;Sommital;0;0;WGS84;THS
20090212 164751.600;8;;;;;Sommital;0;0;WGS84;THS
